order,stage,step,kind,responsible_roles,execution_status,human_review_status,required_evidence,review_criterion,horizons_months,recorded_error_codes,clinical_validation_claim
1,setup,"Preparar Python, instalar e importar bibliotecas",automatic,Científico de datos; MLOps,executed,pending,Manifiesto con versiones instaladas y código identificado.,Revisar compatibilidad y reproducibilidad del entorno.,"12, 36, 60",,False
2,protocol,"Definir enfermedad, primer evento, población y horizontes",human,Bioestadístico/epidemiólogo; médico laboral; producto y gobernanza,pending_human,pending,"Protocolo firmado: diagnóstico o calificación, fecha índice, desenlace y decisión de uso.",Confirmar que el evento y la población representan la pregunta predictiva.,"12, 36, 60",,False
3,inventory,"Inventariar archivos, hojas, esquemas y cobertura documentada",automatic,Ingeniero de datos,executed,pending,Inventario por archivo/hoja y relación de fuentes faltantes.,Acreditar que están incluidas todas las bases de esta empresa.,"12, 36, 60",,False
4,mapping,"Mapear columnas, estados clínicos, fechas y unidades",human,Ingeniero de datos; médico laboral; experto en exposición,pending_human,pending,Diccionario y mapeos revisados con propietario de datos y especialistas.,"No inferir origen laboral, estados firmes ni disponibilidad histórica desde nombres.","12, 36, 60",,False
5,cleaning,Normalizar tipos y fechas; tratar duplicados y faltantes,automatic,Ingeniero de datos; científico de datos,executed,pending,Informe de calidad con conteos antes/después y errores identificados.,Resolver contradicciones sin inventar valores ni convertir desconocidos en ceros.,"12, 36, 60",,False
6,linkage,"Integrar identificadores, vínculos, reingresos y fuentes",automatic,Ingeniero de datos; producto y gobernanza,executed,pending,"Controles de enlace, empresa, claves y registros sin correspondencia.","Revisar cruces, intervalos reales, accesos y seudonimización.","12, 36, 60",,False
7,cohorts,Construir población en riesgo y seguimiento hasta evento o censura,automatic,Bioestadístico/epidemiólogo; médico laboral; científico de datos,executed,pending,"Flujo de inclusiones/exclusiones, eventos únicos y duración de seguimiento.","Evaluar prevalentes, estados inciertos, censura informativa y eventos competitivos.","12, 36, 60",,False
8,features,Crear predictores disponibles antes de la fecha índice,automatic,Científico de datos; experto en exposición; médico laboral,executed,pending,"Diccionario de variables, ventanas retrospectivas y disponibilidad/faltantes.","Confirmar pertinencia clínica, unidades y ausencia de información futura.","12, 36, 60",,False
9,splitting,"Separar entrenamiento, validación y prueba interna entre personas independientes",automatic,Bioestadístico/epidemiólogo; científico de datos,executed,pending,"Fecha índice común, partición reproducible por hash y ausencia de personas compartidas entre los tres grupos.",Verificar grupos sin personas compartidas y soporte de seguimiento; este diseño no acredita validación temporal posterior.,"12, 36, 60",,False
10,training,Ajustar preprocesamiento y modelos sólo en entrenamiento,automatic,Científico de datos; bioestadístico/epidemiólogo,not_executed,pending,"Modelos entrenados, parámetros y fallas de ajuste registradas.","Evaluar suficiencia de eventos, complejidad y supuestos; mínimos de cómputo no bastan.","12, 36, 60",,False
11,selection,Comparar modelos y seleccionar usando validación,automatic,Científico de datos; bioestadístico/epidemiólogo,not_executed,pending,Comparación en horizontes comunes evaluables y regla de selección.,"Evitar seleccionar algoritmos, umbrales o variables mirando la prueba final.","12, 36, 60",,False
12,evaluation,"Evaluar discriminación, calibración e incertidumbre en prueba",automatic,Bioestadístico/epidemiólogo; revisor independiente; médico laboral,not_executed,pending,"Métricas, curvas y límites por horizonte; comparación con referencia.","Interpretar incertidumbre, desempeño en grupos y utilidad para la decisión prevista.","12, 36, 60",,False
13,prediction,Emitir predicciones por horizonte con soporte y trazabilidad,automatic,Científico de datos; médico laboral; producto y gobernanza,not_executed,pending,"Probabilidades y estados por horizonte; fecha índice, modelo y alcance.",No presentar riesgo estimado como diagnóstico ni emitir horizontes no sustentados.,"12, 36, 60",,False
14,independent_review,Auditar de forma independiente el modelo y su aplicabilidad,human,Revisor independiente; bioestadístico/epidemiólogo; médico laboral,pending_human,pending,"Concepto independiente firmado sobre datos, código, sesgo y criterios de aceptación.",El mismo programa no puede certificar su propia validación clínica.,"12, 36, 60",,False
15,operations,"Definir despliegue, accesos, seguimiento y actualización",human,MLOps; producto y gobernanza; médico laboral,pending_human,pending,"Plan aprobado de uso, monitoreo, responsabilidades, seguridad y actualización.",Definir acciones ante deterioro y nueva validación antes de sustituir el modelo.,"12, 36, 60",,False
